"seller_id"	"seller_city"	"seller_state"	"total_orders"	"unique_customers"	"categories_sold"	"total_gmv"	"avg_order_value"	"total_freight"	"freight_pct_of_gmv"	"avg_delivery_days"	"avg_review_score"	"late_delivery_pct"
"00ee68308b45bc5e2660cd833c3f81cc"	"SP"	134	20122.00	9.2	4.33	8.2	15.7	"Platinum — Elite seller"
"48162d548f5b1b11b9d29d1e01f75a61"	"SP"	66	20109.39	11.2	3.82	2.2	10.2	"Silver — Average seller"
"729f06993dac8e860d4f02d7088ca48a"	"SP"	93	19485.28	10.8	4.33	9.8	24.8	"Platinum — Elite seller"
"004c9cd9d87a3c30c522c48c4fc07416"	"SP"	154	19396.75	14.3	4.16	7.8	18.0	"Gold — Strong seller"
"bfd27a966d91cfaafdb25d076585f0da"	"SP"	113	19180.00	12.4	4.32	5.3	13.7	"Gold — Strong seller"
"dc317f341ab0e22f39acbd9dbf9b4a1f"	"RS"	55	18988.40	12.2	4.12	5.2	18.9	"Gold — Strong seller"
"f457c46070d02cadd8a68551231220dd"	"PR"	194	18710.30	14.5	3.80	6.6	19.4	"Silver — Average seller"
"96493fab2fbb13a14d0c0e8772eef5c3"	"SP"	62	18600.00	13.4	4.03	6.3	6.4	"Gold — Strong seller"
"d650b663c3b5f6fb392b6326366efa9a"	"SP"	57	18335.90	9.8	4.37	7.0	4.6	"Platinum — Elite seller"
"0dd184061fb0eaa7ca37932c68ab91c5"	"SP"	160	18326.92	11.3	3.95	9.9	28.9	"Silver — Average seller"
"44073f8b7e41514de3b7815dd0237f4f"	"DF"	141	18310.64	13.2	3.75	4.7	17.0	"Silver — Average seller"
"cd68562d3f44870c08922d380acae552"	"SP"	121	18003.70	16.6	3.91	19.5	11.9	"Silver — Average seller"
"527801b552d0077ffd170872eb49683b"	"SP"	89	17833.90	12.8	4.48	8.8	11.4	"Gold — Strong seller"
"a888faf2d1baececa6baf9c3d603ee1f"	"PR"	53	17564.80	17.9	4.11	14.8	6.3	"Silver — Average seller"
"9de4643a8dbde634fe55621059d92273"	"SC"	72	17560.34	15.0	4.53	6.2	9.8	"Gold — Strong seller"
"c72de06d72748d1a0dfb2125be43ba63"	"BA"	21	17522.00	9.7	4.45	0.0	6.9	"Platinum — Elite seller"
"165fc07beebdcb6190fba8a06db2a449"	"PR"	50	17481.40	13.5	3.69	12.5	9.2	"Silver — Average seller"
"821fb029fc6e495ca4f08a35d51e53a5"	"SP"	23	17462.62	16.3	3.50	33.3	7.7	"Silver — Average seller"
"8b321bb669392f5163d04c59e235e066"	"SP"	926	17175.45	12.6	4.02	10.3	80.8	"Gold — Strong seller"
"0c8380b62e38e8a1e6adbeba7eb9688c"	"MG"	178	17104.59	12.6	4.06	5.1	23.6	"Gold — Strong seller"
"1e8b33f18b4f7598d87f5cbee2282cc2"	"SP"	120	17071.76	7.8	4.31	4.4	15.6	"Platinum — Elite seller"
"76d64c4aca3a7baf218bf93ef7fa768d"	"PR"	64	16911.80	10.7	4.13	2.9	21.0	"Gold — Strong seller"
"94144541854e298c2d976cb893b81343"	"RS"	67	16826.38	12.2	4.33	2.7	8.4	"Gold — Strong seller"
"54a1852d1b8f10312c55e906355666ee"	"SP"	197	16806.47	11.6	4.37	10.0	19.9	"Platinum — Elite seller"
"abe42c5d03695b4257b5c6cbf4e6784e"	"RJ"	48	16561.00	14.0	3.96	14.6	5.6	"Silver — Average seller"
"8ae520247981aa06bc94abddf5f46d34"	"SC"	65	16320.99	11.0	4.45	1.5	8.9	"Platinum — Elite seller"
"41b39e28db005d9731d9d485a83b4c38"	"SP"	187	16306.75	12.5	4.23	5.8	23.0	"Gold — Strong seller"
"4a3ccda38b2129705f3fb522db62ca31"	"SP"	64	16169.09	13.4	3.81	9.6	8.3	"Silver — Average seller"
"ef0ace09169ac090589d85746e3e036f"	"RJ"	128	16105.40	12.6	4.37	7.9	14.3	"Gold — Strong seller"
"1f1bb1f0859883505541bdd6606193e5"	"SP"	27	16040.84	14.2	4.31	10.3	3.3	"Gold — Strong seller"
"7aa4334be125fcdd2ba64b3180029f14"	"SP"	213	15957.15	16.0	4.08	13.6	27.0	"Silver — Average seller"
"86ccac0b835037332a596a33b6949ee1"	"SC"	177	15864.35	11.9	4.03	2.9	24.4	"Gold — Strong seller"
